x,y,filename,cluster
0.51569515,-50.298355,../data/output/patches/el_paso_tx/3018252_m_3110613_nw_13_060_20200904_92.png,5
0.44759214,-96.85126,../data/output/patches/el_paso_tx/3018252_m_3110613_nw_13_060_20200904_92.png,5
0.6449628,8.040368,../data/output/patches/el_paso_tx/3018252_m_3110613_nw_13_060_20200904_92.png,21
0.7615256,-16.230309,../data/output/patches/el_paso_tx/3018252_m_3110613_nw_13_060_20200904_92.png,21
0.3980807,9.757962,../data/output/patches/phoenix_az/3103603_m_3311231_sw_12_060_20211031_1155.png,49
0.44261113,16.923252,../data/output/patches/phoenix_az/3103603_m_3311231_sw_12_060_20211031_1155.png,49
0.5124928,37.396416,../data/output/patches/phoenix_az/3103603_m_3311231_sw_12_060_20211031_1155.png,18
0.48913828,20.92754,../data/output/patches/phoenix_az/3103603_m_3311231_sw_12_060_20211031_1155.png,49
0.28337854,-81.521324,../data/output/patches/manchester_nh/3151088_m_4307160_se_19_060_20211024_1249.png,10
0.2469016,18.753187,../data/output/patches/manchester_nh/3151088_m_4307160_se_19_060_20211024_1249.png,45
0.48463815,-92.55713,../data/output/patches/manchester_nh/3151088_m_4307160_se_19_060_20211024_1249.png,5
0.6834045,57.59992,../data/output/patches/manchester_nh/3151088_m_4307160_se_19_060_20211024_1249.png,18
0.44826016,-93.62233,../data/output/patches/philadelphia_pa/2924437_m_4007564_se_18_060_20191014_849.png,5
0.36893797,104.54168,../data/output/patches/philadelphia_pa/2924437_m_4007564_se_18_060_20191014_849.png,37
0.4614387,-106.66454,../data/output/patches/philadelphia_pa/2924437_m_4007564_se_18_060_20191014_849.png,5
0.34205672,-33.263107,../data/output/patches/philadelphia_pa/2924437_m_4007564_se_18_060_20191014_849.png,10
0.463789,61.50148,../data/output/patches/boulder_co/3029705_m_4010562_se_13_060_20190919_1445.png,37
0.30533972,32.637928,../data/output/patches/boulder_co/3029705_m_4010562_se_13_060_20190919_1445.png,45
