x,y,filename,cluster
0.16546318,9.638885,../data/output/patches/el_paso_tx/3018252_m_3110613_nw_13_060_20200904_92.png,10
0.20603552,21.506397,../data/output/patches/el_paso_tx/3018252_m_3110613_nw_13_060_20200904_92.png,10
0.47688517,-102.75669,../data/output/patches/el_paso_tx/3018252_m_3110613_nw_13_060_20200904_92.png,12
0.5805861,-96.57923,../data/output/patches/el_paso_tx/3018252_m_3110613_nw_13_060_20200904_92.png,12
0.45647982,-99.14981,../data/output/patches/phoenix_az/3103603_m_3311231_sw_12_060_20211031_1155.png,0
0.3560895,-69.9323,../data/output/patches/phoenix_az/3103603_m_3311231_sw_12_060_20211031_1155.png,0
0.47068933,-39.574272,../data/output/patches/phoenix_az/3103603_m_3311231_sw_12_060_20211031_1155.png,12
0.57373214,17.905355,../data/output/patches/phoenix_az/3103603_m_3311231_sw_12_060_20211031_1155.png,18
0.80368173,-39.16613,../data/output/patches/manchester_nh/3151088_m_4307160_se_19_060_20211024_1249.png,1
0.7064591,-27.607271,../data/output/patches/manchester_nh/3151088_m_4307160_se_19_060_20211024_1249.png,15
0.7661706,-66.02613,../data/output/patches/manchester_nh/3151088_m_4307160_se_19_060_20211024_1249.png,1
0.82174903,-66.69052,../data/output/patches/manchester_nh/3151088_m_4307160_se_19_060_20211024_1249.png,1
0.15638597,15.011337,../data/output/patches/philadelphia_pa/2924437_m_4007564_se_18_060_20191014_849.png,10
0.18131441,58.22335,../data/output/patches/philadelphia_pa/2924437_m_4007564_se_18_060_20191014_849.png,14
0.72445107,45.267323,../data/output/patches/philadelphia_pa/2924437_m_4007564_se_18_060_20191014_849.png,5
0.41318637,62.115177,../data/output/patches/philadelphia_pa/2924437_m_4007564_se_18_060_20191014_849.png,3
0.5964488,18.147034,../data/output/patches/boulder_co/3029705_m_4010562_se_13_060_20190919_1445.png,18
0.38296878,67.94107,../data/output/patches/boulder_co/3029705_m_4010562_se_13_060_20190919_1445.png,3
