x,y,filename,cluster
0.50286436,73.63753,../data/output/patches/el_paso_tx/3018252_m_3110613_nw_13_060_20200904_92.png,5
0.6140095,89.162,../data/output/patches/el_paso_tx/3018252_m_3110613_nw_13_060_20200904_92.png,5
0.22466554,91.9094,../data/output/patches/el_paso_tx/3018252_m_3110613_nw_13_060_20200904_92.png,0
0.594683,98.475876,../data/output/patches/el_paso_tx/3018252_m_3110613_nw_13_060_20200904_92.png,5
0.24208005,-46.39086,../data/output/patches/phoenix_az/3103603_m_3311231_sw_12_060_20211031_1155.png,9
0.5292117,104.77751,../data/output/patches/phoenix_az/3103603_m_3311231_sw_12_060_20211031_1155.png,5
0.1936498,-51.947895,../data/output/patches/phoenix_az/3103603_m_3311231_sw_12_060_20211031_1155.png,9
0.11398733,-69.02675,../data/output/patches/phoenix_az/3103603_m_3311231_sw_12_060_20211031_1155.png,9
0.7297559,16.718884,../data/output/patches/manchester_nh/3151088_m_4307160_se_19_060_20211024_1249.png,4
0.8289348,-34.101852,../data/output/patches/manchester_nh/3151088_m_4307160_se_19_060_20211024_1249.png,4
0.7856131,-51.30253,../data/output/patches/manchester_nh/3151088_m_4307160_se_19_060_20211024_1249.png,4
0.73575276,7.073914,../data/output/patches/manchester_nh/3151088_m_4307160_se_19_060_20211024_1249.png,4
0.055052865,-51.323185,../data/output/patches/philadelphia_pa/2924437_m_4007564_se_18_060_20191014_849.png,9
0.18988208,-24.639702,../data/output/patches/philadelphia_pa/2924437_m_4007564_se_18_060_20191014_849.png,9
0.45649838,-87.48623,../data/output/patches/philadelphia_pa/2924437_m_4007564_se_18_060_20191014_849.png,2
0.48895946,-22.825283,../data/output/patches/philadelphia_pa/2924437_m_4007564_se_18_060_20191014_849.png,2
0.6419865,18.06623,../data/output/patches/boulder_co/3029705_m_4010562_se_13_060_20190919_1445.png,7
0.79211557,13.508091,../data/output/patches/boulder_co/3029705_m_4010562_se_13_060_20190919_1445.png,4
0.8370804,-8.343698,../data/output/patches/boulder_co/3029705_m_4010562_se_13_060_20190919_1445.png,4
0.6846439,10.516191,../data/output/patches/boulder_co/3029705_m_4010562_se_13_060_20190919_1445.png,7
0.7890285,8.440282,../data/output/patches/huntsville_al/3114252_m_3408621_ne_16_030_20211023_1901.png,4
0.2259653,40.421764,../data/output/patches/huntsville_al/3114252_m_3408621_ne_16_030_20211023_1901.png,0
0.16182801,-39.74833,../data/output/patches/huntsville_al/3114252_m_3408621_ne_16_030_20211023_1901.png,9
0.13971327,10.511955,../data/output/patches/huntsville_al/3114252_m_3408621_ne_16_030_20211023_1901.png,0
0.37188262,-14.892095,../data/output/patches/lexington_ky/2968093_m_3708405_nw_16_060_20200531_1284.png,6
0.19519177,-21.980616,../data/output/patches/lexington_ky/2968093_m_3708405_nw_16_060_20200531_1284.png,9
0.23916268,-47.392582,../data/output/patches/lexington_ky/2968093_m_3708405_nw_16_060_20200531_1284.png,9
0.38228497,-18.426594,../data/output/patches/lexington_ky/2968093_m_3708405_nw_16_060_20200531_1284.png,6
0.4408494,21.70823,../data/output/patches/memphis_tn/3109532_m_3509055_se_15_060_20211119_1955.png,6
0.46414182,-76.130325,../data/output/patches/memphis_tn/3109532_m_3509055_se_15_060_20211119_1955.png,2
0.23632364,-86.62331,../data/output/patches/memphis_tn/3109532_m_3509055_se_15_060_20211119_1955.png,9
