x,y,path
5.18327,7.932899,3164202_m_4007309_ne_18_060_20211105_0.png
5.859405,7.9432716,3164202_m_4007309_ne_18_060_20211105_0.png
5.998635,8.047342,3164202_m_4007309_ne_18_060_20211105_0.png
6.407978,7.672472,3164202_m_4007309_ne_18_060_20211105_0.png
7.1586347,7.3651905,3164202_m_4007309_ne_18_060_20211105_1.png
18.934793,4.3179455,3164202_m_4007309_ne_18_060_20211105_1.png
8.712053,7.871881,3164202_m_4007309_ne_18_060_20211105_1.png
20.205023,-6.4223,3164202_m_4007309_ne_18_060_20211105_1.png
27.352549,-12.766001,3164202_m_4007309_ne_18_060_20211105_2.png
33.64446,4.6898174,3164202_m_4007309_ne_18_060_20211105_2.png
34.180393,1.7936805,3164202_m_4007309_ne_18_060_20211105_2.png
33.647217,2.146174,3164202_m_4007309_ne_18_060_20211105_2.png
37.72682,3.4240937,3164202_m_4007309_ne_18_060_20211105_3.png
34.760838,4.923484,3164202_m_4007309_ne_18_060_20211105_3.png
32.96783,-1.5577391,3164202_m_4007309_ne_18_060_20211105_3.png
38.647526,3.8230197,3164202_m_4007309_ne_18_060_20211105_3.png
32.863964,3.381301,3164202_m_4007309_ne_18_060_20211105_4.png
33.435047,1.0028651,3164202_m_4007309_ne_18_060_20211105_4.png
33.311123,-0.045439616,3164202_m_4007309_ne_18_060_20211105_4.png
32.968857,2.5050707,3164202_m_4007309_ne_18_060_20211105_4.png
32.446907,2.0177395,3164202_m_4007309_ne_18_060_20211105_5.png
20.558647,3.7367208,3164202_m_4007309_ne_18_060_20211105_5.png
31.433731,-0.10823597,3164202_m_4007309_ne_18_060_20211105_5.png
23.09784,3.8669593,3164202_m_4007309_ne_18_060_20211105_5.png
18.858368,2.7600775,3164202_m_4007309_ne_18_060_20211105_6.png
17.967405,3.1674545,3164202_m_4007309_ne_18_060_20211105_6.png
18.935236,2.8596773,3164202_m_4007309_ne_18_060_20211105_6.png
18.578585,3.0472033,3164202_m_4007309_ne_18_060_20211105_6.png
17.451405,3.4128532,3164202_m_4007309_ne_18_060_20211105_7.png
17.424568,3.346307,3164202_m_4007309_ne_18_060_20211105_7.png
17.764221,3.363709,3164202_m_4007309_ne_18_060_20211105_7.png
17.651886,3.3327081,3164202_m_4007309_ne_18_060_20211105_7.png
17.37977,3.3750591,3164202_m_4007309_ne_18_060_20211105_8.png
20.600973,-13.667595,3164202_m_4007309_ne_18_060_20211105_8.png
25.621456,-9.091737,3164202_m_4007309_ne_18_060_20211105_8.png
48.63696,-20.918808,3164202_m_4007309_ne_18_060_20211105_8.png
1.273744,-14.831175,3164202_m_4007309_ne_18_060_20211105_9.png
-7.352419,-9.909536,3164202_m_4007309_ne_18_060_20211105_9.png
41.341766,-28.193714,3164202_m_4007309_ne_18_060_20211105_9.png
63.97592,9.117644,3164202_m_4007309_ne_18_060_20211105_9.png
36.833042,11.362647,3164202_m_4007309_ne_18_060_20211105_10.png
41.91069,-27.812634,3164202_m_4007309_ne_18_060_20211105_10.png
63.864895,8.327934,3164202_m_4007309_ne_18_060_20211105_10.png
33.75801,28.61383,3164202_m_4007309_ne_18_060_20211105_10.png
33.948807,28.626144,3164202_m_4007309_ne_18_060_20211105_11.png
4.2938647,-33.29759,3164202_m_4007309_ne_18_060_20211105_11.png
4.323048,-33.907295,3164202_m_4007309_ne_18_060_20211105_11.png
18.268312,3.3477666,3164202_m_4007309_ne_18_060_20211105_11.png
11.571215,4.8472795,3164202_m_4007309_ne_18_060_20211105_12.png
35.937725,11.63755,3164202_m_4007309_ne_18_060_20211105_12.png
8.657365,7.0031943,3164202_m_4007309_ne_18_060_20211105_12.png
25.368332,-6.5145545,3164202_m_4007309_ne_18_060_20211105_12.png
15.047282,14.056294,3164202_m_4007309_ne_18_060_20211105_13.png
-2.5918655,-5.49333,3164202_m_4007309_ne_18_060_20211105_13.png
47.8337,-16.310259,3164202_m_4007309_ne_18_060_20211105_13.png
43.57195,14.869341,3164202_m_4007309_ne_18_060_20211105_13.png
-7.9254093,5.97381,3164202_m_4007309_ne_18_060_20211105_14.png
-16.488005,-38.152912,3164202_m_4007309_ne_18_060_20211105_14.png
34.273186,17.919899,3164202_m_4007309_ne_18_060_20211105_14.png
34.317722,-22.74886,3164202_m_4007309_ne_18_060_20211105_14.png
14.698786,-24.837503,3164202_m_4007309_ne_18_060_20211105_15.png
40.817028,3.5595284,3164202_m_4007309_ne_18_060_20211105_15.png
15.861121,16.66173,3164202_m_4007309_ne_18_060_20211105_15.png
11.103429,16.949419,3164202_m_4007309_ne_18_060_20211105_15.png
18.15928,12.042151,3164202_m_4007309_ne_18_060_20211105_16.png
9.694222,56.139385,3164202_m_4007309_ne_18_060_20211105_16.png
-3.0862553,-11.546268,3164202_m_4007309_ne_18_060_20211105_16.png
-41.096714,15.939406,3164202_m_4007309_ne_18_060_20211105_16.png
-50.736137,14.744184,3164202_m_4007309_ne_18_060_20211105_17.png
-9.155987,-50.447952,3164202_m_4007309_ne_18_060_20211105_17.png
-7.3723907,3.7014027,3164202_m_4007309_ne_18_060_20211105_17.png
45.86582,11.0302105,3164202_m_4007309_ne_18_060_20211105_17.png
34.059853,15.645701,3164202_m_4007309_ne_18_060_20211105_18.png
7.532027,22.126017,3164202_m_4007309_ne_18_060_20211105_18.png
12.352137,-17.642677,3164202_m_4007309_ne_18_060_20211105_18.png
10.00698,15.7408085,3164202_m_4007309_ne_18_060_20211105_18.png
-4.3460264,11.836719,3164202_m_4007309_ne_18_060_20211105_19.png
30.48671,9.093862,3164202_m_4007309_ne_18_060_20211105_19.png
5.3657255,10.679771,3164202_m_4007309_ne_18_060_20211105_19.png
-1.6288235,-27.168589,3164202_m_4007309_ne_18_060_20211105_19.png
20.067696,27.559122,3164202_m_4007309_ne_18_060_20211105_20.png
26.183609,22.37493,3164202_m_4007309_ne_18_060_20211105_20.png
48.307106,-16.980688,3164202_m_4007309_ne_18_060_20211105_20.png
12.111438,40.871758,3164202_m_4007309_ne_18_060_20211105_20.png
-39.345104,2.923449,3164202_m_4007309_ne_18_060_20211105_21.png
-20.20185,-18.861979,3164202_m_4007309_ne_18_060_20211105_21.png
-35.955,-2.386389,3164202_m_4007309_ne_18_060_20211105_21.png
-21.652552,36.367283,3164202_m_4007309_ne_18_060_20211105_21.png
-14.266865,23.201412,3164202_m_4007309_ne_18_060_20211105_22.png
-23.63211,-8.292416,3164202_m_4007309_ne_18_060_20211105_22.png
-42.9953,11.729155,3164202_m_4007309_ne_18_060_20211105_22.png
-9.5086565,-37.953724,3164202_m_4007309_ne_18_060_20211105_22.png
-15.894002,6.724995,3164202_m_4007309_ne_18_060_20211105_23.png
-26.482435,-21.147167,3164202_m_4007309_ne_18_060_20211105_23.png
-14.231762,-28.226301,3164202_m_4007309_ne_18_060_20211105_23.png
-7.426915,-12.140447,3164202_m_4007309_ne_18_060_20211105_23.png
-34.199524,33.258392,3164202_m_4007309_ne_18_060_20211105_24.png
23.817776,17.867598,3164202_m_4007309_ne_18_060_20211105_24.png
-25.37881,12.011283,3164202_m_4007309_ne_18_060_20211105_24.png
-32.455948,-38.098316,3164202_m_4007309_ne_18_060_20211105_24.png
